trace,variant,stage,count,fraction_of_eligible,fraction_of_previous_stage,note
416.gamess-875B,DirectMappedWAM,eligible_accesses,18608,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,DirectMappedWAM,contexts_formed,18605,0.9998387790197765,0.9998387790197765,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,DirectMappedWAM,context_hits,394,0.021173688736027516,0.021177102929320075,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,SetAssociativeWAM,eligible_accesses,18608,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,SetAssociativeWAM,contexts_formed,18605,0.9998387790197765,0.9998387790197765,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,SetAssociativeWAM,context_hits,347,0.018647893379191746,0.018650900295619458,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
416.gamess-875B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,DirectMappedWAM,eligible_accesses,1150581,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,DirectMappedWAM,contexts_formed,1150578,0.9999973926216407,0.9999973926216407,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,DirectMappedWAM,context_hits,7,6.083882838322552e-06,6.083898701348366e-06,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,SetAssociativeWAM,eligible_accesses,1150581,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,SetAssociativeWAM,contexts_formed,1150578,0.9999973926216407,0.9999973926216407,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,SetAssociativeWAM,context_hits,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
429.mcf-217B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,DirectMappedWAM,eligible_accesses,243081,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,DirectMappedWAM,contexts_formed,243078,0.9999876584348427,0.9999876584348427,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,DirectMappedWAM,context_hits,2706,0.01113209177187851,0.011132229161010046,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,SetAssociativeWAM,eligible_accesses,243081,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,SetAssociativeWAM,contexts_formed,243078,0.9999876584348427,0.9999876584348427,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,SetAssociativeWAM,context_hits,54,0.00022214817283127845,0.00022215091452126477,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
434.zeusmp-10B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,DirectMappedWAM,eligible_accesses,204541,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,DirectMappedWAM,contexts_formed,204538,0.999985333013919,0.999985333013919,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,DirectMappedWAM,context_hits,49,0.00023956077265682675,0.00023956428634288004,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,SetAssociativeWAM,eligible_accesses,204541,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,SetAssociativeWAM,contexts_formed,204538,0.999985333013919,0.999985333013919,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,SetAssociativeWAM,context_hits,10,4.888995360343403e-05,4.889067068222042e-05,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
435.gromacs-111B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,DirectMappedWAM,eligible_accesses,25212,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,DirectMappedWAM,contexts_formed,25209,0.9998810090433127,0.9998810090433127,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,DirectMappedWAM,context_hits,18,0.0007139457401237506,0.0007140307033202428,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,SetAssociativeWAM,eligible_accesses,25212,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,SetAssociativeWAM,contexts_formed,25209,0.9998810090433127,0.9998810090433127,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,SetAssociativeWAM,context_hits,19,0.0007536093923528478,0.0007536990757269229,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
447.dealII-3B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,DirectMappedWAM,eligible_accesses,117766,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,DirectMappedWAM,contexts_formed,117763,0.9999745257544622,0.9999745257544622,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,DirectMappedWAM,context_hits,1169,0.009926464344547662,0.009926717220179513,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,SetAssociativeWAM,eligible_accesses,117766,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,SetAssociativeWAM,contexts_formed,117763,0.9999745257544622,0.9999745257544622,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,SetAssociativeWAM,context_hits,303,0.002572898799313894,0.0025729643436393436,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
453.povray-576B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,DirectMappedWAM,eligible_accesses,622,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,DirectMappedWAM,contexts_formed,619,0.9951768488745981,0.9951768488745981,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,DirectMappedWAM,context_hits,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,SetAssociativeWAM,eligible_accesses,622,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,SetAssociativeWAM,contexts_formed,619,0.9951768488745981,0.9951768488745981,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,SetAssociativeWAM,context_hits,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
454.calculix-104B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,DirectMappedWAM,eligible_accesses,31460,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,DirectMappedWAM,contexts_formed,31457,0.9999046408137318,0.9999046408137318,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,DirectMappedWAM,context_hits,161,0.005117609663064208,0.005118097720698096,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,SetAssociativeWAM,eligible_accesses,31460,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,SetAssociativeWAM,contexts_formed,31457,0.9999046408137318,0.9999046408137318,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,SetAssociativeWAM,context_hits,122,0.0038779402415766054,0.0038783100740693646,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
465.tonto-44B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
