trace,stage,count,fraction_of_eligible,fraction_of_previous_stage,note
429.mcf-217B,contexts_formed,1150578,0.9999973926216407,0.9999973926216407,exact counters except request rejection reason and cache-state subdivisions
429.mcf-217B,context_hits,7,6.083882838322552e-06,6.083898701348366e-06,exact counters except request rejection reason and cache-state subdivisions
429.mcf-217B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
429.mcf-217B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
429.mcf-217B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
429.mcf-217B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
429.mcf-217B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
434.zeusmp-10B,eligible_accesses,243081,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
434.zeusmp-10B,contexts_formed,243078,0.9999876584348427,0.9999876584348427,exact counters except request rejection reason and cache-state subdivisions
434.zeusmp-10B,context_hits,2706,0.01113209177187851,0.011132229161010046,exact counters except request rejection reason and cache-state subdivisions
434.zeusmp-10B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
434.zeusmp-10B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
434.zeusmp-10B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
434.zeusmp-10B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
434.zeusmp-10B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
435.gromacs-111B,eligible_accesses,204541,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
435.gromacs-111B,contexts_formed,204538,0.999985333013919,0.999985333013919,exact counters except request rejection reason and cache-state subdivisions
435.gromacs-111B,context_hits,49,0.00023956077265682675,0.00023956428634288004,exact counters except request rejection reason and cache-state subdivisions
435.gromacs-111B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
435.gromacs-111B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
435.gromacs-111B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
435.gromacs-111B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
435.gromacs-111B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
447.dealII-3B,eligible_accesses,25212,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
447.dealII-3B,contexts_formed,25209,0.9998810090433127,0.9998810090433127,exact counters except request rejection reason and cache-state subdivisions
447.dealII-3B,context_hits,18,0.0007139457401237506,0.0007140307033202428,exact counters except request rejection reason and cache-state subdivisions
447.dealII-3B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
447.dealII-3B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
447.dealII-3B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
447.dealII-3B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
447.dealII-3B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
453.povray-576B,eligible_accesses,117766,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
453.povray-576B,contexts_formed,117763,0.9999745257544622,0.9999745257544622,exact counters except request rejection reason and cache-state subdivisions
453.povray-576B,context_hits,1169,0.009926464344547662,0.009926717220179513,exact counters except request rejection reason and cache-state subdivisions
453.povray-576B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
453.povray-576B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
453.povray-576B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
453.povray-576B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
453.povray-576B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
454.calculix-104B,eligible_accesses,622,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
454.calculix-104B,contexts_formed,619,0.9951768488745981,0.9951768488745981,exact counters except request rejection reason and cache-state subdivisions
454.calculix-104B,context_hits,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
454.calculix-104B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
454.calculix-104B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
454.calculix-104B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
454.calculix-104B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
454.calculix-104B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
465.tonto-44B,eligible_accesses,31460,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
465.tonto-44B,contexts_formed,31457,0.9999046408137318,0.9999046408137318,exact counters except request rejection reason and cache-state subdivisions
465.tonto-44B,context_hits,161,0.005117609663064208,0.005118097720698096,exact counters except request rejection reason and cache-state subdivisions
465.tonto-44B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
465.tonto-44B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
465.tonto-44B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
465.tonto-44B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
465.tonto-44B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
